,pID,average_normed_delta_T
0,68,0.18351832125603829
1,97,-0.10837240836940869
2,82,0.4769542305506581
3,85,0.11321112763145484
4,1029,0.09825288023159992
5,84,0.12695697273628287
6,83,0.08821735941371582
7,1019,0.06952737171438779
8,1059,0.09616193091509537
9,1068,0.20418426294751474
10,1028,0.07998433287672863
11,1022,0.05389847092091599
12,1070,0.2132412824844358
13,1025,0.26457454304661426
14,1030,0.03316922985734356
15,1062,0.07137205102398483
16,1037,0.12713711305043765
17,1001,-139943.17521880628
18,1053,0.23907325220156556
19,1006,0.08064554456031461
20,76,0.01424607819785882
21,89,-0.060402323910304534
22,71,0.1300611865187294
23,1013,0.04100737474944461
24,1041,0.31932731296088096
25,1014,0.08308661540440963
26,1063,0.07444951475155301
27,1031,0.0584776953686881
28,1064,0.08227745005580293
29,1024,-0.31119663049211355
30,1023,-0.22917348811170404
31,70,0.3334653558089907
32,88,0.0902746420393897
33,77,0.15625570431047056
34,1015,0.18060839448965277
35,1012,-0.0584825092504989
36,1047,0.39089137669288027
37,1052,0.05296773756226162
38,1000,0.18682242939244675
39,1055,0.993692462981658
40,1066,-0.05956394056050932
41,1033,0.08728038681714144
42,1061,0.09666237658480546
43,1034,0.06554416520526975
44,1021,0.17569683640641529
45,11,0.03854164563527631
46,1045,0.07373894857034759
47,1010,-389112.59914587
48,1042,-100692.67927017681
49,1017,0.35986260700909545
50,75,0.013448348464085965
51,72,0.03764987936982691
52,1057,0.7312903018707472
53,1002,0.021093895062936775
54,1050,0.2612761554915844
55,1005,0.16092450548930567
56,98,0.16946073478109264
57,67,0.2271719548505313
58,60,0.23433419054224955
59,1020,0.07128689417047952
60,1035,0.14303622670580043
61,1032,0.07795584614748687
62,1004,-0.15057562926925108
63,1051,0.5440116602824093
64,1056,-613132.1291295106
65,99,0.09052279168438163
66,1016,0.03947024707545116
67,1043,0.1711244123349084
68,1011,0.09661458302765547
69,73,0.09522925315576264
70,74,-0.030974840765231035
71,1049,0.08634584649685825
72,81,0.20363808090678154
73,86,0.08903969570651982
74,79,0.1506829579128792
75,1009,0.1254043337257984
76,93,0.03638955544565336
77,94,0.1433405616024185
78,1008,0.045672829620108685
79,95,0.03850748457449359
80,92,0.16406831014628157
81,78,0.11996564900614955
82,87,0.05329947115464208
83,80,0.17059858635342048
84,1039,0.040205607535216716
