,key,hold_s,t_release,t_press,delta_T,dist,normed_delta_T
0,d,0.1329,0.6115,0.4786,,0.0,
1,e,0.1888,0.9195,0.7307,0.11919999999999997,1.0,0.11919999999999997
2,l,0.1544,1.0385,0.8841,-0.03539999999999999,6.082762530298219,-0.005819724150609646
3,space,0.1551,1.3159,1.1608,0.12230000000000008,4.47213595499958,0.027347111364822443
4,p,0.185,1.8325,1.6474,0.3314999999999999,5.830951894845301,0.05685178097474166
5,u,0.1014,2.0484,1.947,0.11450000000000005,3.0,0.03816666666666668
6,e,0.1457,2.2594,2.1138,0.0653999999999999,4.0,0.016349999999999976
7,n,0.1004,2.4049,2.3045,0.04510000000000014,3.605551275463989,0.012508489424878956
8,t,0.1784,2.6517,2.4733,0.06840000000000002,2.23606797749979,0.03058940993219713
9,e,0.1858,2.7961,2.6103,-0.04139999999999988,2.0,-0.02069999999999994
10,space,0.1202,2.9206,2.8005,0.0043999999999999595,3.605551275463989,0.0012203404316954928
11,d,0.1015,3.1036,3.0021,0.08150000000000013,2.8284271247461903,0.028814601333351855
12,e,0.1417,3.337,3.1953,0.09169999999999989,1.0,0.09169999999999989
13,space,0.1314,3.4255,3.2941,-0.04290000000000038,3.605551275463989,-0.01189831920903127
14,p,0.1647,3.8207,3.656,0.23050000000000015,5.830951894845301,0.03953042387534831
15,i,0.1088,3.9882,3.8794,0.058699999999999974,2.0,0.029349999999999987
16,e,0.1273,4.1736,4.0463,0.058099999999999596,5.0,0.011619999999999919
17,d,0.2059,4.6523,4.4463,0.2726999999999995,1.0,0.2726999999999995
18,r,0.1549,4.9574,4.8026,0.15029999999999966,1.4142135623730951,0.10627814921233784
19,a,0.1597,5.1521,4.9924,0.03500000000000014,3.1622776601683795,0.011067971810589373
20,,0.065,7.5138,7.4488,2.2967000000000004,,
21,,0.1033,11.4993,11.3959,3.8820999999999994,,
22,,0.6124,16.4534,15.841,4.3416999999999994,,
23,d,1440577476.8049,16.4654,-1440577460.3396,-1440577476.793,,
24,u,0.1129,16.9251,16.8122,0.3468000000000018,4.123105625617661,0.0841113547626007
25,r,0.1781,17.1606,16.9826,0.057500000000000995,3.0,0.019166666666666998
26,a,0.1972,17.3458,17.1486,-0.012000000000000455,3.1622776601683795,-0.003794733192202199
27,n,0.091,17.4603,17.3693,0.023499999999998522,5.0990195135927845,0.004608729175747036
28,t,0.1438,17.7548,17.611,0.1507000000000005,2.23606797749979,0.06739508884184388
29,e,0.1826,17.9153,17.7328,-0.021999999999998465,2.0,-0.010999999999999233
30,space,0.1306,18.0783,17.9477,0.03240000000000265,3.605551275463989,0.008986143178849448
31,d,0.1544,18.2921,18.1377,0.05940000000000012,2.8284271247461903,0.021001071401240502
32,,0.1161,18.8924,18.7763,0.48419999999999774,,
33,i,0.1096,19.2099,19.1003,0.2079000000000022,,
34,a,0.1883,19.5068,19.3184,0.10849999999999937,7.0710678118654755,0.015344217151747993
35,s,0.1221,19.5735,19.4514,-0.055399999999998784,1.0,-0.055399999999998784
36,,0.0767,22.456,22.3793,2.8058000000000014,,
37,space,0.0918,22.7333,22.6415,0.1855000000000011,,
38,b,0.1371,23.031,22.8939,0.16059999999999874,1.0,0.16059999999999874
