,key,hold_s,t_release,t_press,delta_T,dist,normed_delta_T
0,u,0.1038,1.4543,1.3504,,0.0,
1,m,0.1295,1.8365,1.707,0.25270000000000015,2.23606797749979,0.11301087558283943
2,,0.0853,2.7016,2.6162,0.7797000000000001,,
3,n,0.0819,3.2333,3.1514,0.4498000000000002,,
4,space,0.0681,3.6225,3.5544,0.32109999999999994,1.4142135623730951,0.22705198743900035
5,p,0.0935,4.3693,4.2758,0.6533000000000002,5.830951894845301,0.11204002567360105
6,u,0.0957,4.7432,4.6476,0.27829999999999977,3.0,0.0927666666666666
7,e,0.1023,5.214,5.1118,0.3685999999999998,4.0,0.09214999999999995
8,b,0.1124,6.1766,6.0642,0.8501999999999992,2.8284271247461903,0.30059109268240103
9,l,0.0994,6.4007,6.3013,0.1247000000000007,4.123105625617661,0.03024419244203089
10,o,0.081,6.6237,6.5427,0.14200000000000035,1.0,0.14200000000000035
11,,0.0946,10.8033,10.7086,4.0849,,
12,,0.1096,11.6598,11.5502,0.7469000000000001,,
13,e,0.1006,12.4664,12.3659,0.7060999999999993,,
14,,0.0968,12.8601,12.7633,0.29689999999999905,,
15,n,0.0927,16.1065,16.0138,3.1537000000000006,,
16,space,0.0774,16.3327,16.2553,0.14879999999999782,1.4142135623730951,0.10521748904055672
17,e,0.0833,16.8961,16.8128,0.4801000000000002,3.605551275463989,0.1331557821038663
18,s,0.1132,17.1705,17.0572,0.16110000000000113,1.4142135623730951,0.1139149024491536
19,e,0.0905,17.4219,17.3314,0.16089999999999804,1.4142135623730951,0.1137734810929141
20,space,0.0971,17.8141,17.7171,0.2951999999999977,3.605551275463989,0.08187374896284318
21,m,0.0779,18.2933,18.2154,0.4012999999999991,1.4142135623730951,0.28376195129016085
22,o,0.0882,18.7232,18.635,0.341700000000003,3.605551275463989,0.09477052852508124
23,m,0.0961,19.2143,19.1182,0.3950000000000031,3.605551275463989,0.10955328875448363
24,e,0.0734,20.5011,20.4277,1.2134,3.605551275463989,0.33653660904984656
25,n,0.0752,21.3585,21.2833,0.7821999999999996,3.605551275463989,0.216943246743687
26,t,0.0951,22.6657,22.5706,1.2120999999999995,2.23606797749979,0.5420675991054987
27,o,0.1211,23.0551,22.934,0.2683,4.0,0.067075
28,space,0.0898,28.4711,28.3813,5.3262,5.0,1.06524
29,e,0.1306,28.9355,28.8049,0.3338000000000001,3.605551275463989,0.09257946274999077
30,l,0.097,29.4186,29.3216,0.386099999999999,6.082762530298219,0.06347444899859829
31,space,0.0749,29.7209,29.646,0.22739999999999938,4.47213595499958,0.050848185808345076
32,a,0.115,30.2064,30.0914,0.37049999999999983,4.47213595499958,0.08284631856636716
