,key,hold_s,t_release,t_press,delta_T,dist,normed_delta_T
0,a,0.1431,2.4775,2.3344,,0.0,
1,b,0.1304,2.9592,2.8288,0.35130000000000017,4.123105625617661,0.08520276507526381
2,u,0.1656,3.3243,3.1587,0.1995,2.8284271247461903,0.07053390142335811
3,e,0.1457,3.5547,3.409,0.08469999999999978,4.0,0.021174999999999944
4,l,0.1659,4.0975,3.9316,0.3769,6.082762530298219,0.06196197831538917
5,o,0.1979,4.8411,4.6432,0.5457000000000001,1.0,0.5457000000000001
6,space,0.2015,5.0585,4.857,0.015900000000000247,5.0,0.0031800000000000495
7,y,0.0933,5.3919,5.2986,0.24009999999999998,3.1622776601683795,0.07592628662064278
8,space,0.133,5.6359,5.5029,0.11100000000000065,3.1622776601683795,0.03510128202786922
9,s,0.1418,6.1699,6.0281,0.3921999999999999,3.605551275463989,0.1087767084797674
10,u,0.1372,6.6365,6.4993,0.3293999999999997,5.0990195135927845,0.06460065491451776
11,space,0.2381,6.9457,6.7076,0.07110000000000039,3.605551275463989,0.019719591975807003
12,n,0.1946,7.2188,7.0242,0.07850000000000001,1.4142135623730951,0.055507882323143985
13,i,0.2602,7.7944,7.5342,0.31540000000000035,2.8284271247461903,0.11151073939311866
14,e,0.1331,7.9156,7.7825,-0.011900000000000688,5.0,-0.0023800000000001376
15,t,0.1614,8.3085,8.1471,0.2314999999999996,2.0,0.1157499999999998
16,o,0.2334,9.0187,8.7852,0.47669999999999924,4.0,0.11917499999999981
17,space,0.1631,9.1599,8.9967,-0.02200000000000024,5.0,-0.004400000000000048
18,d,0.164,9.8344,9.6704,0.5105000000000004,2.8284271247461903,0.18048900589786637
19,e,0.1336,10.4871,10.3535,0.5190999999999999,1.0,0.5190999999999999
20,space,0.1737,10.654,10.4802,-0.006899999999999906,3.605551275463989,-0.0019137156769770145
21,v,0.1311,11.0032,10.8721,0.21809999999999974,1.4142135623730951,0.15421998897678582
22,i,0.1969,11.4619,11.265,0.2618000000000009,4.47213595499958,0.0585402596509447
23,a,0.1571,11.6481,11.491,0.02909999999999968,7.0710678118654755,0.004115361466505661
24,j,0.2244,12.2943,12.0699,0.42180000000000106,6.0,0.07030000000000018
25,e,0.175,12.5806,12.4056,0.11129999999999995,4.123105625617661,0.02699421506654385
26,space,0.1445,12.6995,12.555,-0.025600000000000733,3.605551275463989,-0.007100162511683136
27,c,0.1588,13.1899,13.0311,0.3315999999999999,2.23606797749979,0.148296028267786
28,i,0.1315,13.5655,13.4341,0.24420000000000108,5.385164807134504,0.04534680158283627
29,,0.1409,14.6781,14.5373,0.9718,,
30,o,0.1053,15.0405,14.9353,0.2571999999999992,,
31,n,0.1135,15.5076,15.3941,0.35360000000000014,3.605551275463989,0.09807099469262055
32,space,0.2001,15.7751,15.5749,0.06729999999999947,1.4142135623730951,0.047588286373854274
33,u,0.1323,16.1802,16.0479,0.2727999999999984,3.605551275463989,0.0756611067651208
34,n,0.1536,16.6095,16.4559,0.2757000000000005,2.23606797749979,0.12329678827933863
35,a,0.1611,16.9245,16.7634,0.15390000000000015,5.0990195135927845,0.030182273197766552
36,,0.1806,20.5797,20.3991,3.4746000000000024,,
37,space,0.1452,20.7734,20.6282,0.048500000000000654,,
38,b,0.1361,21.3864,21.2503,0.47690000000000055,1.0,0.47690000000000055
39,u,0.1764,21.9265,21.75,0.3636000000000017,2.8284271247461903,0.12855201281971493
40,e,0.1062,22.174,22.0678,0.14129999999999754,4.0,0.035324999999999385
41,e,0.1486,22.4206,22.272,0.09799999999999898,0.0,inf
42,,0.174,23.6974,23.5234,1.1027999999999984,,
43,r,0.1465,24.21,24.0635,0.366100000000003,,
44,r,0.1144,24.7658,24.6514,0.441399999999998,0.0,inf
45,o,0.2133,25.1217,24.9085,0.14270000000000138,5.0,0.028540000000000277
46,space,0.1553,25.407,25.2517,0.129999999999999,5.0,0.0259999999999998
47,e,0.0956,26.3733,26.2778,0.8707999999999991,3.605551275463989,0.24151646543646452
48,l,0.1791,27.1932,27.0141,0.6407999999999987,6.082762530298219,0.10534687106527274
49,space,0.1863,27.4837,27.2975,0.1042999999999985,4.47213595499958,0.023322189005322472
50,n,0.1433,27.7758,27.6326,0.14890000000000114,1.4142135623730951,0.10528819971867773
51,i,0.2087,28.2573,28.0486,0.27280000000000015,2.8284271247461903,0.09644936495384512
52,e,0.1365,28.4643,28.3279,0.07059999999999889,5.0,0.014119999999999777
53,t,0.1879,28.9637,28.7758,0.3114999999999988,2.0,0.1557499999999994
54,o,0.1973,29.8451,29.6478,0.6841000000000008,4.0,0.1710250000000002
55,space,0.169,30.0213,29.8523,0.007200000000000983,5.0,0.0014400000000001968
56,h,0.0983,30.4601,30.3618,0.3404999999999987,2.23606797749979,0.1522762292677351
57,,0.1414,31.4241,31.2827,0.8225999999999978,,
58,b,0.1378,31.8866,31.7488,0.3247,,
59,i,0.0794,32.2924,32.213,0.3263999999999996,3.605551275463989,0.09052707202395728
60,,0.1523,33.0484,32.8961,0.6036999999999964,,
61,space,0.1057,33.4592,33.3534,0.3049999999999997,,
62,p,0.2114,35.1082,34.8969,1.4376999999999995,5.830951894845301,0.24656351585938485
63,,0.1703,35.413,35.2427,0.13450000000000273,,
64,s,0.1257,36.7987,36.6731,1.2601000000000013,,
65,,0.149,37.2655,37.1165,0.3178000000000054,,
66,d,0.1835,37.7477,37.5641,0.2986000000000004,,
67,o,0.1886,38.901,38.7124,0.9647000000000006,6.082762530298219,0.15859570305347828
68,space,0.1534,39.1378,38.9844,0.08339999999999748,5.0,0.016679999999999494
69,l,0.1938,40.2734,40.0796,0.9418000000000006,4.47213595499958,0.21059288212093033
70,,0.1962,40.923,40.7268,0.4533999999999949,,
71,a,0.0806,41.0394,40.9588,0.035799999999994725,,
72,s,0.0373,41.0727,41.0354,-0.003999999999997783,1.0,-0.003999999999997783
73,space,0.1863,42.0828,41.8965,0.8238000000000056,3.605551275463989,0.22848101082517344
74,v,0.1076,42.65,42.5425,0.459699999999998,1.4142135623730951,0.32505698731145444
75,a,0.1563,43.0734,42.9171,0.2670999999999992,3.1622776601683795,0.08446443630309716
76,c,0.1334,43.4172,43.2838,0.21039999999999992,2.23606797749979,0.09409374049319111
77,a,0.1519,43.8561,43.7042,0.28699999999999903,2.23606797749979,0.12835030190848748
78,c,0.1502,44.4745,44.3243,0.46820000000000306,2.23606797749979,0.20938540541308168
79,i,0.194,45.1521,44.9582,0.4836999999999989,5.385164807134504,0.0898208350762398
80,o,0.1633,46.068,45.9048,0.7527000000000044,1.0,0.7527000000000044
81,n,0.1782,46.719,46.5408,0.47279999999999944,3.605551275463989,0.13113112638764401
82,e,0.1652,47.1467,46.9815,0.26249999999999574,3.605551275463989,0.07280440075456014
83,s,0.1287,47.5341,47.4055,0.2588000000000008,1.4142135623730951,0.18299923497107906
84,,0.1915,48.4931,48.3015,0.767399999999995,,
85,space,0.153,49.7599,49.6068,1.1137000000000015,,
86,c,0.1494,50.3788,50.2294,0.4694999999999965,2.23606797749979,0.20996678308722866
87,o,0.1677,51.185,51.0173,0.6385000000000005,6.324555320336759,0.10095571430087559
88,n,0.1808,51.8666,51.6858,0.5007999999999981,3.605551275463989,0.13889692913479687
89,space,0.1312,52.1625,52.0313,0.1647000000000034,1.4142135623730951,0.11646048686142678
90,s,0.1056,52.7197,52.6141,0.4515999999999991,3.605551275463989,0.1252513043076565
91,u,0.2074,53.7468,53.5394,0.8196999999999974,5.0990195135927845,0.16075639597276895
92,space,0.1531,53.9154,53.7623,0.015500000000002956,3.605551275463989,0.004298926520746346
93,a,0.187,55.2006,55.0136,1.0981999999999985,4.47213595499958,0.24556498528902657
94,b,0.1923,56.0797,55.8874,0.6867999999999981,4.123105625617661,0.166573467274953
95,u,0.1732,56.7026,56.5294,0.4497,2.8284271247461903,0.1589929597497952
96,e,0.1883,57.007,56.8186,0.11600000000000676,4.0,0.02900000000000169
97,l,0.1927,57.9528,57.7601,0.7531000000000034,6.082762530298219,0.12380887733966514
98,o,0.2055,59.4456,59.2402,1.287399999999998,1.0,1.287399999999998
99,space,0.1934,60.2874,60.094,0.6484000000000023,5.0,0.12968000000000046
100,y,0.1236,61.1709,61.0473,0.7599000000000018,3.1622776601683795,0.2403014793961957
101,space,0.1005,61.3976,61.2971,0.1261999999999972,3.1622776601683795,0.03990794407132406
102,a,0.1408,61.9085,61.7677,0.37010000000000076,4.47213595499958,0.08275687584726739
103,h,0.1401,62.4218,62.2817,0.3732000000000042,5.0,0.07464000000000084
104,o,0.2464,63.3645,63.1181,0.6963000000000008,3.1622776601683795,0.2201893934775245
105,r,0.1668,63.6027,63.4359,0.07139999999999702,5.0,0.014279999999999404
106,a,0.1931,64.1486,63.9555,0.352800000000002,3.1622776601683795,0.11156515585074105
107,space,0.0905,64.3563,64.2657,0.11709999999999354,4.47213595499958,0.026184356016521092
108,v,0.1866,64.9371,64.7504,0.39409999999999457,1.4142135623730951,0.2786707824656145
109,o,0.1856,65.2993,65.1137,0.17659999999999343,5.385164807134504,0.03279379672206614
110,l,0.1597,66.054,65.8944,0.5951000000000022,1.0,0.5951000000000022
111,v,0.1529,66.4399,66.287,0.2330000000000041,5.0990195135927845,0.04569505948719769
112,i,0.202,66.9978,66.7957,0.3558000000000021,4.47213595499958,0.07955929863944299
113,a,0.2191,67.5525,67.3334,0.33559999999999945,7.0710678118654755,0.04746100715324099
114,space,0.1497,67.8962,67.7465,0.19400000000000261,4.47213595499958,0.0433797187634965
115,a,0.2112,68.4902,68.279,0.38280000000000314,4.47213595499958,0.08559668217869265
116,space,0.2196,68.8748,68.6552,0.16499999999999204,4.47213595499958,0.03689512162874475
117,c,0.1273,69.1887,69.0614,0.18660000000001276,2.23606797749979,0.08345005692029785
118,a,0.1566,69.6615,69.5049,0.31620000000000914,2.23606797749979,0.14140893889709077
119,s,0.123,70.0221,69.8991,0.23760000000000048,1.0,0.23760000000000048
120,a,0.1976,70.6124,70.4148,0.39270000000000493,1.0,0.39270000000000493
121,space,0.2116,70.905,70.6935,0.08110000000000639,4.47213595499958,0.018134511297524723
122,d,0.2492,71.578,71.3288,0.42379999999999995,2.8284271247461903,0.1498359269334294
123,e,0.2359,71.9221,71.6862,0.10819999999999652,1.0,0.10819999999999652
124,space,0.1311,72.2299,72.0988,0.17669999999999675,3.605551275463989,0.0490077623364981
125,s,0.1043,72.8958,72.7916,0.5617000000000019,3.605551275463989,0.15578755010985612
126,u,0.2228,74.2296,74.0068,1.1110000000000042,5.0990195135927845,0.21788502613852329
127,s,0.2196,74.7065,74.4869,0.25730000000000075,5.0990195135927845,0.050460681571054905
128,space,0.1488,74.9285,74.7797,0.07319999999999993,3.605551275463989,0.020302027181843367
129,p,0.4362,76.6808,76.2446,1.3161000000000058,5.830951894845301,0.22570928790605688
130,a,0.2121,76.9986,76.7866,0.10580000000000211,9.055385138137417,0.011683655458718996
131,d,0.1088,77.332,77.2232,0.22460000000000946,2.0,0.11230000000000473
132,r,0.1612,77.9778,77.8166,0.48460000000000036,1.4142135623730951,0.34266394616300117
133,e,0.1714,78.305,78.1335,0.15569999999999595,1.0,0.15569999999999595
134,s,0.1972,79.0195,78.8223,0.5172999999999917,1.4142135623730951,0.36578633790779513
135,space,0.1625,80.8164,80.654,1.6345000000000027,3.605551275463989,0.4533287353650693
136,p,0.3984,82.0077,81.6093,0.792900000000003,5.830951894845301,0.13598122815949576
137,a,0.1879,82.1339,81.946,-0.061700000000001864,9.055385138137417,-0.0068136251588182374
138,r,0.1344,82.8055,82.6711,0.5371999999999986,3.1622776601683795,0.1698775559042449
139,a,0.2242,83.2914,83.0672,0.2617000000000047,3.1622776601683795,0.08275680636660797
140,space,0.1764,83.5488,83.3724,0.08100000000000307,4.47213595499958,0.01811215061774898
141,e,0.1186,83.9414,83.8228,0.2740000000000009,3.605551275463989,0.07599392688285665
142,m,0.209,84.7137,84.5047,0.5632999999999981,3.605551275463989,0.15623131026683526
143,p,0.2592,85.8232,85.5641,0.8503999999999934,4.47213595499958,0.19015522080658062
144,e,0.1365,86.0712,85.9347,0.1115000000000066,7.0,0.01592857142857237
145,z,0.0977,88.1952,88.0976,2.0263999999999953,2.8284271247461903,0.7164405906982082
146,a,0.141,88.5198,88.3788,0.18359999999999843,1.0,0.18359999999999843
147,r,0.1917,89.4111,89.2194,0.6995999999999896,3.1622776601683795,0.2212329451053765
148,space,0.1266,89.8045,89.6779,0.26679999999998927,3.1622776601683795,0.08436956797328896
149,n,0.1655,90.7134,90.5478,0.7432999999999907,1.4142135623730951,0.5255924704559541
150,u,0.2061,91.4311,91.225,0.5116000000000014,2.23606797749979,0.2287944754577791
151,e,0.1354,91.5992,91.4637,0.03260000000000218,4.0,0.008150000000000546
152,v,0.1058,92.0617,91.9559,0.35670000000000357,2.23606797749979,0.1595210895148366
153,a,0.1638,92.6561,92.4924,0.43070000000000164,3.1622776601683795,0.1361992988234526
154,m,0.1768,93.3733,93.1966,0.5405000000000086,5.0990195135927845,0.10600077104219018
155,e,0.1641,93.5719,93.4078,0.0344999999999942,3.605551275463989,0.009568578384883595
156,n,0.1584,93.8926,93.7342,0.1623000000000019,3.605551275463989,0.04501392092367787
157,t,0.187,94.3096,94.1226,0.23000000000000398,2.23606797749979,0.1028591269649921
158,e,0.2408,95.1229,94.8821,0.5724999999999909,2.0,0.28624999999999545
159,space,0.0563,95.5025,95.4463,0.32339999999999236,3.605551275463989,0.08969502172961744
160,space,0.0629,95.5905,95.5276,0.025100000000009004,0.0,inf
161,e,0.1105,96.3576,96.2471,0.6565999999999974,3.605551275463989,0.182108074420742
162,l,0.1924,97.2054,97.013,0.6554000000000002,6.082762530298219,0.1077470962799312
163,space,0.1402,97.4317,97.2915,0.08610000000000184,4.47213595499958,0.0192525452862736
164,c,0.1763,98.0021,97.8257,0.39399999999999125,2.23606797749979,0.1762021566269795
165,o,0.1873,98.6911,98.5038,0.5016999999999996,6.324555320336759,0.07932573510532373
166,l,0.2238,99.4494,99.2256,0.5344999999999942,1.0,0.5344999999999942
167,e,0.097,99.537,99.4401,-0.00929999999999609,6.082762530298219,-0.0015289105819391799
168,g,0.1886,100.1685,99.9799,0.4428999999999945,2.23606797749979,0.1980709014469289
169,i,0.2525,100.833,100.5805,0.41200000000000614,3.1622776601683795,0.13028583959893916
170,o,0.2072,101.4962,101.289,0.45600000000000307,1.0,0.45600000000000307
171,,0.1197,102.6893,102.5697,1.0734999999999957,,
172,space,0.1658,102.9561,102.7902,0.10089999999999577,,
173,a,0.2041,103.4978,103.2936,0.3374999999999915,4.47213595499958,0.07546729424061599
174,space,0.1437,103.6974,103.5537,0.055900000000008276,4.47213595499958,0.012499619994225674
175,r,0.1361,104.1722,104.036,0.33859999999999957,3.1622776601683795,0.10707472157330118
176,a,0.1283,104.4713,104.343,0.17079999999999984,3.1622776601683795,0.054011702435675865
177,t,0.1361,104.9091,104.773,0.30169999999999675,4.123105625617661,0.07317299807346087
178,o,0.2728,105.9485,105.6757,0.766600000000011,4.0,0.19165000000000276
179,s,0.2272,106.5284,106.3011,0.3526000000000096,7.0710678118654755,0.04986517020927669
180,space,0.1212,106.7149,106.5937,0.06529999999999347,3.605551275463989,0.018110961406751922
181,e,0.197,107.5823,107.3853,0.6704000000000008,3.605551275463989,0.18593550577469703
182,l,0.2071,108.1142,107.9071,0.3247999999999962,6.082762530298219,0.05339679107677943
183,space,0.127,108.2954,108.1683,0.054100000000005366,4.47213595499958,0.012097127758275062
184,a,0.14,108.7325,108.5925,0.29710000000000036,4.47213595499958,0.06643357961151883
185,b,0.1232,109.234,109.1109,0.3783999999999992,4.123105625617661,0.0917754805137482
186,u,0.1761,110.4357,110.2596,1.0256000000000114,2.8284271247461903,0.36260435739246555
187,e,0.1484,110.7578,110.6094,0.17369999999999663,4.0,0.04342499999999916
188,l,0.1669,111.6633,111.4965,0.7386999999999944,6.082762530298219,0.12144153192246651
189,o,0.1793,112.589,112.4097,0.7463999999999942,1.0,0.7463999999999942
190,space,0.1834,112.841,112.6576,0.06860000000000355,5.0,0.013720000000000709
191,o,0.2048,113.3436,113.1388,0.2978000000000094,5.0,0.059560000000001875
