,key,hold_s,t_release,t_press,delta_T,dist,normed_delta_T
0,,0.1001,6.7385,6.6384,,0.0,
1,,0.1908,7.7745,7.5838,0.8452999999999999,,
2,s,1427279758.9025,7.813,-1427279751.0895,-1427279758.8639998,,
3,i,0.1143,8.2092,8.0949,0.28190000000000115,6.082762530298219,0.04634407452138041
4,space,0.1012,8.4973,8.396,0.18680000000000163,4.242640687119285,0.04402918224188275
5,y,0.0933,8.833,8.7396,0.24230000000000018,3.1622776601683795,0.07662198770587988
6,o,0.0967,9.103,9.0062,0.17319999999999958,3.0,0.05773333333333319
7,q,0.1846,9.642,9.4573,0.3543000000000003,8.0,0.044287500000000035
8,,0.1945,13.5799,13.3854,3.743400000000001,,
9,,0.2321,19.3565,19.1243,5.544400000000001,,
10,s,0.0975,22.9225,22.825,3.468499999999999,,
11,,0.6299,23.0132,22.3833,-0.539200000000001,,
12,i,0.1269,23.487,23.3601,0.346899999999998,,
13,,0.1368,26.4066,26.2698,2.7828000000000017,,
14,,0.1517,27.7408,27.5891,1.1824999999999974,,
15,,0.1198,28.2845,28.1647,0.4238999999999997,,
16,,0.2165,30.2465,30.03,1.7454999999999998,,
17,s,1427279781.3637,30.2742,-1427279751.0895,-1427279781.336,,
18,i,0.115,30.9481,30.8331,0.5589000000000013,6.082762530298219,0.0918825940049644
19,space,0.1348,32.1319,31.9971,1.0489999999999995,4.242640687119285,0.24725167115489602
20,y,0.14,33.0774,32.9374,0.805499999999995,3.1622776601683795,0.25472146552656133
21,o,0.1211,33.1344,33.0133,-0.06409999999999627,3.0,-0.021366666666665424
22,space,0.0778,33.5055,33.4278,0.29339999999999833,5.0,0.05867999999999966
23,q,0.1614,34.0672,33.9058,0.40030000000000143,5.0,0.08006000000000028
24,u,0.1362,34.291,34.1548,0.0876000000000019,6.0,0.014600000000000316
25,i,0.1176,34.3661,34.2484,-0.04260000000000019,1.0,-0.04260000000000019
26,s,0.0949,34.7431,34.6482,0.2820999999999998,6.082762530298219,0.04637695431884126
27,i,0.1407,34.8672,34.7265,-0.01659999999999684,6.082762530298219,-0.0027290231892684114
28,e,0.1603,35.0621,34.9018,0.03460000000000463,5.0,0.006920000000000925
29,r,0.0867,35.1958,35.1091,0.046999999999997044,1.0,0.046999999999997044
30,a,0.1655,35.6358,35.4703,0.2745000000000033,3.1622776601683795,0.08680452177162305
31,space,0.1248,35.6928,35.568,-0.06780000000000541,4.47213595499958,-0.015160540887449784
32,v,0.104,36.0205,35.9164,0.22360000000000468,1.4142135623730951,0.15810907627331533
33,e,0.038,36.0941,36.0561,0.035600000000002296,2.23606797749979,0.01592080399979953
34,r,0.1084,36.1165,36.0081,-0.08599999999999852,1.0,-0.08599999999999852
35,,0.0747,39.4204,39.3457,3.2291999999999987,,
36,,0.069,39.5674,39.4984,0.07799999999999585,,
37,e,0.0886,40.1084,40.0198,0.45239999999999725,,
38,n,0.0995,40.174,40.0746,-0.03380000000000649,3.605551275463989,-0.009374433316208172
39,d,0.1007,40.4689,40.3682,0.19420000000000215,3.1622776601683795,0.061411432160470604
40,e,0.2022,40.9429,40.7406,0.2717000000000027,1.0,0.2717000000000027
41,r,0.1207,40.968,40.8472,-0.09570000000000078,1.0,-0.09570000000000078
42,m,0.1088,41.3598,41.2511,0.28309999999999746,2.8284271247461903,0.1000909648769549
43,e,0.1088,41.4356,41.3269,-0.03289999999999793,3.605551275463989,-0.009124818227904445
44,,0.0876,43.6167,43.5291,2.093499999999999,,
45,space,0.1095,43.9795,43.87,0.25329999999999586,,
46,,0.1018,44.5532,44.4514,0.471899999999998,,
47,,0.2533,44.5776,44.3243,-0.22889999999999588,,
48,c,0.1724,46.4799,46.3076,1.730000000000004,,
49,u,0.092,46.6867,46.5947,0.11480000000000246,4.47213595499958,0.025670060381698133
50,,0.0915,47.1753,47.0837,0.39699999999999847,,
51,a,0.0958,47.2459,47.1501,-0.025199999999998113,,
52,o,0.1048,47.8729,47.7681,0.522199999999998,8.06225774829855,0.06477093840248441
53,t,0.1689,47.9163,47.7474,-0.1255000000000024,4.0,-0.0313750000000006
54,space,0.1612,48.3187,48.1575,0.2411999999999992,3.0,0.08039999999999974
55,v,0.099,48.9459,48.8469,0.5281999999999982,1.4142135623730951,0.3734938018227331
56,a,0.1081,49.0342,48.9261,-0.019800000000003593,3.1622776601683795,-0.0062613097671345265
57,l,0.108,49.6472,49.5392,0.5050000000000026,8.0,0.06312500000000032
58,d,0.0819,49.8852,49.8033,0.15610000000000213,6.0,0.02601666666666702
59,r,0.1079,50.1362,50.0283,0.143100000000004,1.4142135623730951,0.10118698038779778
60,,0.0925,50.6522,50.5598,0.4236000000000004,,
61,i,0.1404,51.507,51.3665,0.7143000000000015,,
62,a,0.0947,51.5222,51.4275,-0.07949999999999591,7.0710678118654755,-0.011242997820865526
63,,0.0949,52.3239,52.2289,0.706700000000005,,
64,,0.2598,52.3619,52.1022,-0.22169999999999845,,
65,,0.0872,54.2927,54.2055,1.8436000000000021,,
66,3,0.1006,55.229,55.1284,0.8356999999999957,,
67,,0.1011,55.7622,55.6611,0.4320999999999984,,
68,,0.2209,55.7842,55.5633,-0.19890000000000185,,
69,space,0.1001,56.7033,56.6032,0.8190000000000026,,
70,,0.1081,59.1347,59.0266,2.3233000000000033,,
71,,0.685,59.1634,58.4785,-0.6562000000000054,,
72,q,0.1739,61.0373,60.8635,1.700099999999999,,
73,,0.1835,61.0412,60.8577,-0.17960000000000065,,
74,u,0.0818,62.2178,62.136,1.0947999999999993,,
75,,0.1072,62.8002,62.693,0.47520000000000095,,
76,e,0.1056,62.9012,62.7956,-0.004599999999996385,,
77,c,0.1354,63.7469,63.6115,0.7102999999999966,2.0,0.3551499999999983
78,o,0.1417,63.8972,63.7556,0.008700000000004593,6.324555320336759,0.001375590782173971
79,s,0.1893,64.1642,63.9749,0.0777000000000001,7.0710678118654755,0.010988439379638962
80,a,0.1613,64.2299,64.0686,-0.09559999999999036,1.0,-0.09559999999999036
81,space,0.1457,66.2668,66.1211,1.8911999999999978,4.47213595499958,0.4228851759047597
82,e,0.0959,67.0765,66.9807,0.7138999999999953,3.605551275463989,0.19800023504259426
83,s,0.0721,67.2701,67.198,0.1214999999999975,1.4142135623730951,0.08591347391416375
84,t,0.0891,67.5136,67.4245,0.15439999999999543,3.1622776601683795,0.04882556707299833
