,key,hold_s,t_release,t_press,delta_T,dist,normed_delta_T
0,a,0.1149,4.3107,4.1958,,0.0,
1,l,0.1556,4.8936,4.738,0.4273000000000007,8.0,0.053412500000000085
2,space,0.1568,5.3383,5.1815,0.2878999999999996,4.47213595499958,0.06437639707221886
3,l,0.1185,5.7663,5.6479,0.30959999999999965,4.47213595499958,0.06922866458339341
4,a,0.157,6.214,6.057,0.2907000000000002,8.0,0.03633750000000002
5,d,0.1801,6.7588,6.5788,0.3647999999999998,2.0,0.1823999999999999
6,o,0.1377,7.1167,6.979,0.22020000000000017,6.082762530298219,0.0362006570046397
7,,0.1181,10.4445,10.3264,3.2096999999999998,,
8,space,0.165,12.2051,12.0401,1.595600000000001,,
9,e,0.1661,13.3555,13.1894,0.9842999999999993,3.605551275463989,0.27299570157224634
10,l,0.1848,13.7817,13.5969,0.2414000000000005,6.082762530298219,0.03968591553551334
11,p,0.1439,14.473,14.3291,0.5473999999999997,1.4142135623730951,0.38707025202151585
12,r,0.1484,15.3747,15.2262,0.7531999999999996,6.0,0.12553333333333327
13,i,0.1623,16.0252,15.8629,0.4881999999999991,4.0,0.12204999999999977
14,m,0.1652,16.9557,16.7905,0.7652999999999999,2.8284271247461903,0.27057440982103237
15,e,0.1283,17.6655,17.5372,0.5814999999999984,3.605551275463989,0.16127908205248492
16,r,0.1942,18.0267,17.8325,0.16699999999999804,1.0,0.16699999999999804
17,space,0.1339,24.5437,24.4098,6.383099999999999,3.1622776601683795,2.0185134532620777
18,,0.1004,24.7846,24.6842,0.1404999999999994,,
19,d,0.1722,25.5978,25.4255,0.6408999999999985,,
20,i,0.138,25.9395,25.8015,0.20370000000000132,5.0990195135927845,0.03994885672764835
21,a,0.1648,26.5195,26.3547,0.41520000000000223,7.0710678118654755,0.05871814710973122
22,space,0.1394,29.9848,29.8454,3.3259000000000007,4.47213595499958,0.7436938486366552
23,,0.1006,30.2415,30.141,0.15619999999999834,,
24,d,0.1506,30.7949,30.6443,0.4028000000000027,,
