,key,hold_s,t_release,t_press,delta_T,dist,normed_delta_T
0,i,0.1546,2.7062,2.5516,,0.0,
1,b,0.1283,2.9371,2.8089,0.10270000000000001,3.605551275463989,0.02848385507616552
2,a,0.188,3.274,3.0861,0.14900000000000002,4.123105625617661,0.03613780813041362
3,space,0.1437,3.9242,3.7805,0.5065,4.47213595499958,0.11325684306036433
4,c,0.1117,4.2777,4.166,0.24180000000000046,2.23606797749979,0.10813624739189003
5,a,0.1268,4.5329,4.4061,0.12840000000000007,2.23606797749979,0.057422225662194626
6,m,0.0948,4.6237,4.5289,-0.0039999999999995595,5.0990195135927845,-0.0007844645405526497
7,i,0.0942,4.7975,4.7033,0.07959999999999923,2.8284271247461903,0.028142849891224318
8,n,0.0951,5.0084,4.9133,0.11579999999999924,2.8284271247461903,0.040941482630700826
9,a,0.1589,5.1995,5.0406,0.03220000000000045,5.0990195135927845,0.006314939551449615
10,n,0.1425,5.2778,5.1353,-0.06419999999999959,5.0990195135927845,-0.012590655875871335
11,d,0.1716,5.6444,5.4728,0.19500000000000028,3.1622776601683795,0.06166441437328348
12,o,0.1669,5.7933,5.6264,-0.017999999999999794,6.082762530298219,-0.0029591817714963975
13,space,0.119,6.0902,5.9713,0.17799999999999994,5.0,0.035599999999999986
14,a,0.1259,6.5228,6.397,0.30679999999999996,4.47213595499958,0.06860256554969353
15,l,0.0773,6.5956,6.5183,-0.0045000000000001705,8.0,-0.0005625000000000213
16,space,0.0928,6.763,6.6702,0.07460000000000022,4.47213595499958,0.01668106711214848
17,l,0.079,7.0136,6.9346,0.17159999999999975,4.47213595499958,0.03837092649389633
18,a,0.1417,7.2003,7.0586,0.04499999999999993,8.0,0.005624999999999991
19,d,0.1358,7.4478,7.312,0.11169999999999991,2.0,0.055849999999999955
20,o,0.1545,7.6092,7.4547,0.006899999999999906,6.082762530298219,0.0011343530124069499
21,space,0.1095,7.9037,7.7942,0.1849999999999996,5.0,0.03699999999999992
22,,0.0986,9.3106,9.2119,1.3082000000000003,,
23,,0.1014,9.7224,9.621,0.31039999999999957,,
24,space,0.1061,10.0082,9.9021,0.17970000000000041,,
25,,0.3253,11.3308,11.0055,0.9972999999999992,,
26,a,1408374293.1206,11.3692,-1408374281.7514,-1408374293.0822,,
27,l,0.1291,11.6932,11.5641,0.19490000000000052,8.0,0.024362500000000065
28,space,0.1338,11.9251,11.7913,0.09810000000000052,4.47213595499958,0.02193582685927305
29,p,0.1474,12.2082,12.0608,0.13569999999999993,5.830951894845301,0.023272358003838436
30,a,0.1369,12.3514,12.2146,0.0064000000000010715,9.055385138137417,0.0007067617668791361
31,s,0.1342,12.64,12.5058,0.15440000000000076,1.0,0.15440000000000076
32,a,0.2255,13.0086,12.783,0.1429999999999989,1.0,0.1429999999999989
33,r,0.1452,13.376,13.2308,0.22220000000000084,3.1622776601683795,0.07026580960894165
34,space,0.1524,13.888,13.7356,0.35960000000000036,3.1622776601683795,0.11371550465965503
35,p,0.0996,14.0973,13.9977,0.10970000000000013,5.830951894845301,0.01881339479013324
36,o,0.1466,14.3495,14.2028,0.10549999999999926,1.0,0.10549999999999926
37,r,0.1231,14.4478,14.3248,-0.024700000000001054,5.0,-0.004940000000000211
38,space,0.089,14.5774,14.4884,0.040599999999999525,3.1622776601683795,0.012838847300283469
39,l,0.1494,14.8064,14.657,0.07959999999999923,4.47213595499958,0.017799101100898152
40,a,0.1344,14.9352,14.8008,-0.005599999999999383,8.0,-0.0006999999999999229
41,space,0.1085,15.0533,14.9448,0.009600000000000719,4.47213595499958,0.0021466252583999586
42,c,0.119,15.3981,15.2791,0.22579999999999956,2.23606797749979,0.1009808298638903
43,a,0.1292,15.6534,15.5242,0.126100000000001,2.23606797749979,0.05639363439254513
44,l,0.0363,15.7392,15.7029,0.0495000000000001,8.0,0.0061875000000000124
45,l,0.094,15.9229,15.8289,0.08970000000000056,0.0,inf
46,e,0.1373,16.135,15.9977,0.07479999999999976,6.082762530298219,0.012297044250440686
47,space,0.1027,16.3496,16.2468,0.11179999999999879,3.605551275463989,0.031007740968989974
48,p,0.1364,17.012,16.8756,0.5259999999999998,5.830951894845301,0.09020825578495961
49,r,0.1185,17.3331,17.2146,0.20260000000000034,6.0,0.03376666666666672
50,i,0.1005,17.4562,17.3557,0.022599999999997067,4.0,0.005649999999999267
51,n,0.1619,17.7064,17.5445,0.08830000000000027,2.8284271247461903,0.031218764389386165
52,c,0.1162,17.8862,17.77,0.06360000000000099,3.0,0.02120000000000033
53,i,0.1522,18.0702,17.918,0.031800000000000495,5.385164807134504,0.005905111754030341
54,p,0.1416,18.6142,18.4727,0.40249999999999986,2.0,0.20124999999999993
55,a,0.1622,18.8159,18.6537,0.03950000000000031,9.055385138137417,0.004362045279956473
56,l,0.2061,19.0403,18.8342,0.018299999999999983,8.0,0.002287499999999998
57,space,0.1584,19.7147,19.5563,0.5160000000000018,4.47213595499958,0.11538110763898954
58,d,0.1314,20.2104,20.079,0.36430000000000007,2.8284271247461903,0.12879950019312963
59,e,0.1039,20.4253,20.3214,0.11100000000000065,1.0,0.11100000000000065
60,l,0.083,20.5623,20.4793,0.053999999999998494,6.082762530298219,0.008877545314489046
61,space,0.1032,20.7129,20.6097,0.047399999999999665,4.47213595499958,0.010598962213348927
62,p,0.1921,21.1097,20.9177,0.20479999999999876,5.830951894845301,0.0351229102371856
63,u,0.1315,21.3626,21.2312,0.12150000000000105,3.0,0.04050000000000035
64,e,0.1409,21.5594,21.4185,0.05590000000000117,4.0,0.013975000000000293
65,b,0.1349,21.9694,21.8345,0.27509999999999835,2.8284271247461903,0.09726253775220903
66,l,0.1177,22.1102,21.9925,0.023099999999999454,4.123105625617661,0.005602572938339159
67,o,0.1788,22.4313,22.2525,0.1423000000000023,1.0,0.1423000000000023
68,space,0.1363,22.9172,22.7808,0.34949999999999903,5.0,0.06989999999999981
69,a,0.142,23.1697,23.0278,0.11059999999999803,4.47213595499958,0.024730911831147232
70,l,0.165,23.2967,23.1317,-0.038000000000000256,8.0,-0.004750000000000032
71,g,0.1424,23.6509,23.5084,0.21170000000000044,4.0,0.05292500000000011
72,u,0.0976,23.7437,23.6461,-0.004799999999999471,2.23606797749979,-0.0021466252583995614
73,n,0.1214,24.0077,23.8864,0.14269999999999783,2.23606797749979,0.06381738007784303
74,a,0.1395,24.129,23.9896,-0.01810000000000045,5.0990195135927845,-0.0035497020460012194
75,s,0.1665,24.3721,24.2056,0.07659999999999911,1.0,0.07659999999999911
76,space,0.1113,24.5797,24.4684,0.09629999999999939,3.605551275463989,0.026708814448244612
77,p,0.1743,24.9943,24.82,0.2403000000000013,5.830951894845301,0.041211110009745096
78,e,0.1714,25.2101,25.0388,0.04449999999999932,7.0,0.00635714285714276
79,r,0.1231,25.3169,25.1937,-0.01640000000000086,1.0,-0.01640000000000086
80,s,0.19,25.5924,25.4024,0.08549999999999969,2.23606797749979,0.03823676241524626
81,o,0.1329,25.6532,25.5203,-0.0721000000000025,7.0710678118654755,-0.010196479784710367
82,n,0.1416,25.8733,25.7317,0.07850000000000179,3.605551275463989,0.02177198270184074
83,a,0.1526,26.0391,25.8866,0.013300000000000978,5.0990195135927845,0.0026083445973380396
